ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1990234,transferase complex,408/7652,499/11938,7.574187926136768e-19,3.9915970370740764e-16,2.359957501196298e-16,Pi3K21B/ntc/Sgf29/CG31855/CG2010/kud/CG4042/Bap55/babo/ph-p/Der-2/CG30466/esc/Pcl/Taf8/CG31730/Naa30A/CG11044/Pdss2/CG10516/Rcp/Ada2b/betaggt-I/Su(z)12/CG10862/qjt/Atac1/Cul4/Nse1/phyl/Mettl3/not/Cul1/DNApol-alpha60/trx/Atxn7/Trf/TfIIA-L/CG42299/Uev1A/Gdn1/CG11070/Sf3b5/Tango4/Ost48/e(y)3/CG5599/CG6758/CG8475/RpIIIC53/CG13773/CG4282/Max/ari-2/Coq2/Ing5/Roc2/CG9316/Pi3K59F/Taf12/CG14937/SkpA/slim/ohgt/Lpt/RpII140/CycE/CG14282/MAGE/DNApol-epsilon255/Ptip/CycB3/Caf1-55/Taf6/MRG15/E(z)/e(y)2b/ph-d/mtRNApol/icln/CG17030/CG10931/Ctr9/Cfp1/Wdr82/CG15073/dgt1/CG10254/Gcn5/SCCRO/CycD/CG8388/Taf5/wda/Mes4/DCAF12/Cks30A/RpII33/CG12316/Atg1/Sce/RpI135/ari-1/Tfb4/RpIII128/kmg/SCCRO4/CG6325/gcl/Scm/CG1575/DNApol-alpha73/CG32085/Spt3/d4/Taf13/APC10/Naa20A/betaggt-II/Xpd/morgue/CG2246/CG12219/Rpb7/ash1/RpI1/YL-1/Brd8/Cdk9/mle/Fbxl4/CG15056/CG3515/Cks85A/CG6220/alc/park/Taf2/Flacc/Atu/wuho/CG13088/Cdk7/LUBEL/CG30496/ScsbetaA/mrn/CG14317/DNApol-epsilon58/OstDelta/CG12520/pzg/CG10778/E(var)3-9/ORMDL/rept/fs(1)K10/vir/Rca1/KLHL18/temp/Psc/CG17440/CG5003/CG10887/CG9899/Stt3B/nht/EloB/CG13085/Rep/APC7/Naa30B/CG1523/l(3)73Ah/CG2652/Atg14/Br140/Pi3K92E/put/mus205/chm/Sik2/CG3473/shtd/sina/fl(2)d/sa/Rpb5/Hrd3/CycG/Taf1/Atac2/Smurf/TfIIA-S/NC2beta/Rcd5/nsl1/Nc73EF/CG9003/CG33969/fsd/CG1603/l(2)37Cg/plu/D12/Ubc84D/e(y)1/Trf2/DNApol-alpha180/RpI12/TfIIFbeta/CG17565/Sf3b3/Socs44A/gnu/mof/Hakai/ago/Atg12/CG32221/Eaf6/Gas41/Atg16/CG5380/HDAC1/Ada3/RpII15/DNApol-alpha50/lid/CG18605/CG3756/CG14544/Mat1/CG7707/Jarid2/CG6204/CG6767/Nse4/moon/CycK/caz/Spt7/Tango14/Cdk12/Ubc10/Pa1/hyx/Kdm2/atms/CG12402/Pfk/tth/CG33060/Ostgamma/TfIIA-S-2/CG18600/CG12674/ash2/Atg3/Cul6/Utx/Ing3/pont/SCCRO3/CG12018/CG15160/Ubr1/jet/Fnta/Taf10/CG34025/mahj/CG2247/CG12362/PIG-A/Kdm4A/mia/Tip60/msl-2/Fbw5/Set1/mr/Ask1/Atg13/Pk34A/Vps15/Saf6/slmb/Sin/Cdc23/CG4911/pall/Act87E/eff/CG9596/Atg6/klhl10/SkpB/dmpd/RpII18/Sgf11/Pc/Art4/dgrn/Ndfip/Vhl/corto/SkpE/Cdk5alpha/CG12267/Fsn/Cdk5/Skp2/rgr/Naa15-16/rev7/APC4/CG6254/Prdm13/ear/Cul2/Yippee/CG15412/Tbp/MrgBP/FBXO11/CG14891/Dpy-30L1/PIG-C/Rcd1/CG3347/tam/CycT/CG15237/psidin/Ssl1/Rpb10/CG7339/CG13766/PIG-Q/png/CG12007/Tfb1/DMAP1/CG31460/Rpb11/MBD-R2/CG9662/RpIIIC160/Mettl14/Cul5/enok/CycA/SkpF/Tps1/msl-1/CG5214/Sbat/bip2/CG8272/TfIIEalpha/can/ghi/BTBD9/Roc1b/CycB/CG5961/Atg101/Naa35/Atac3/Rpb8/wds/e(y)2/CG11658/CG33144/z/Atg17/CycH/Naa20B/CG5608/Cdk2/wit/PIG-H/CG7275/CG33051/TfIIFalpha/Taf7/Ncoa6/RpII215/Dpy-30L2/sip3/CycJ/san/CG12084/Rpb12/vih/ben/gus/hay/ida/Fbl6/DNApol-delta/CG10366/SkpD/qless/Atg5/cerv,408
GO:0005730,nucleolus,192/7652,219/11938,1.7380370340370666e-15,4.579727584687671e-13,2.707678747763009e-13,CG7637/l(1)G0004/BHD/stwl/ph-p/kz/CG12325/mbm/peng/tbrd-2/RpL36/CG7246/l(2)k09848/CG4901/Ns1/Aatf/Nop56/scny/tbrd-1/CG8545/CG11583/Ssrp/CG12288/CG10576/RpS18/nclb/Rbm13/CG9004/CG3735/RpL32/RpS15/CG13773/l(1)G0045/Coq2/pit/CG3594/Samtor/Fib/Ski6/ph-d/CG13097/CG8064/NHP2/udd/Bka/SNCF/l(3)72Dn/CG16753/Hus1-like/CG5641/Sce/RpI135/CG1671/CG10993/CG12909/ball/CG15432/Rexo5/CG9344/CG4038/MED26/RpL8/CG12608/Trf4-1/RpI1/mle/CG3527/cal1/vito/Sas10/CG1785/RpS5a/Cdk7/CG4554/wcd/CG6724/CG32409/Mtr3/l(3)07882/l(2)k09022/CG17652/NO66/RpL11/SA-2/nop5/FRG1/CG5728/Rs1/MED22/Hr83/jumu/l(1)G0020/CG32708/nht/CG33082/CG3335/CG9143/smt3/CG4364/sa/Rpb5/dbe/Taf1/RpLP0-like/Bug22/RpS2/l(2)37Cg/Nle/Tsr1/CG14057/CG1789/cdc14/CG7006/eIF6/RpI12/TAF1C-like/Eaf6/CG11030/CG10903/CG3756/Adat1/Top1/Parp/CG15019/CG12499/Rpp30/mod/Mat89Ba/CG18600/RpS13/CG31301/CG11920/Nlp/CG8038/thoc5/mia/CG11563/Non2/CG32344/Mybbp1A/CG2260/Rrp6/CG5033/RpII18/Pc/CG8939/Nopp140/CG8441/l(2)34Fd/Nsun2/CG3071/CG9246/CG8461/HP6/CG1542/Rtc1/Rpb10/CG10909/CG9799/Rrp46/Hlc/CG6712/Ns2/CG7137/Tif-IA/TAF1B/CG2875/CG9630/Mtor/Trf4-2/Mys45A/CG5645/CG12333/RpL41/can/tbrd-3/CG4866/Rpb8/bys/Non1/CG7275/CG12301/Surf6/Noa36/Hmr/Rpb12/CG5815/Non3/Nph/CG7483/Mink/Nsun5,192
GO:0005794,Golgi apparatus,295/7652,362/11938,1.4096711358619513e-13,2.4763222953308278e-11,1.4640794954917106e-11,p115/Vps51/CG7149/pns/Tsp68C/Rab9/fng/CG7456/IntS3/Golgin245/Lztr1/CG5196/Mgat1/AP-1mu/Gas8/Rab14/PICK1/SCAP/CG31776/CG14511/Membrin/CG31495/Rab19/sau/GlcAT-P/CG4483/LPCAT/CG15814/Arf79F/CG15099/CG17195/Rab35/Klp61F/CG4293/NUCB1/Arf102F/CG14015/CG12393/brn/gammaCOP/CG14182/meigo/Golgin104/prd1/CG17075/CG3500/CG4557/cbs/Osbp/Syx5/Gga/CG30423/AP-1sigma/gry/CG3038/Nha2/opm/alpha-Man-IIa/fws/vib/betaCOP/alpha-Spec/SMSr/wls/CG5510/GckIII/Rab11/cert/CG15168/beta3GalTII/CG17287/GPHR/Lrrk/CG2938/CG33635/scat/CDC50/Naa60/clu/Pi4KIIalpha/Clc/CG13186/Pgant4/Rab40/Rab39/Sec23/Papst2/Grasp65/CG31251/nac/CG4676/asrij/Bet3/spn-F/O-fut2/eca/RabX2/Sec71/FucTA/CG9356/eIF3m/brun/Cog3/Rab6/Arfip/Trs31/park/SppL/senju/Sec31/CG11753/Rab8/ksh/CG3631/OSCP1/Vps50/CG4301/BicD/CG4956/aux/CG8708/GalT1/CG8668/Zip99C/CG8314/Nhe1/CG7536/IFT20/Arv1/CG43322/BthD/Rab9Fb/CG1968/sfl/Fer3HCH/puc/Qsox3/Cog7/heix/CG6488/bai/CG11357/Usp32/CG17198/alphaCOP/Rab32/syd/CG4645/Tango9/Myt1/CG9536/CG5447/CG5021/Rab30/rod/Arfrp1/CG9590/GM130/Pgant35A/SIDL/Golgin84/beta4GalT7/alpha-Man-IIb/CG3662/Mgat2/TBC1D5/PGAP2/CG15483/spoon/ldlCp/Qsox2/CG30037/loj/epsilonCOP/CG9171/l(3)76BDm/CG13029/AP-1gamma/Rab1/g/Glg1/fwd/Zw10/Dnz1/CG7272/ATP7/CLIP-190/ema/CG7579/CG7083/Pgant8/CG15880/CG9981/Tango2/CG9384/CG18810/Rich/Qsox4/CG2901/Pgant5/CG10483/CG1513/Syx16/rho/CG7304/CG9773/Sec22/fdl/CG33129/Patsas/Mtp/CG32069/Qsox1/beta'COP/CG17197/lva/CG7990/comm/Arl1/Vps53/VAChT/Pgant6/Gorab/CG7011/sll/Rab2/CG14621/Ndfip/Tango6/CG9308/botv/GCC185/beta4GalNAcTB/Arl5/Hpd/ttv/CG30036/Pgant3/CG8027/Hip14/FucTB/ICA69/CG15651/CG3253/CG8841/GlcAT-I/CG31787/Bet1/Afti/CG10365/Mppe/beta4GalNAcTA/S/CG10000/Cog1/atl/Gos28/Yif1/Trs33/AP-1-2beta/FucT6/Rab10/Csas/Vti1a/RhoGAP15B/CG11149/Nsf2/CG5880/Ugalt/CG14971/GlcT/Madm/GABPI/Rab18/CG32485/S1P/c11.1/comt/Chc/SelG/CG33116/CG17196/CG15147/ArfGAP3/CG8673/Fur2/CG14232/Ykt6/GCC88/Pgant1/ClC-c/step/pod1/ArfGAP1/stet,295
GO:0015630,microtubule cytoskeleton,285/7652,351/11938,8.688344264604574e-13,1.1446893568616527e-10,6.767762900849879e-11,twe/Spindly/jar/Bub1/pav/CG9072/Pp4-19C/Gas8/CG32086/dila/alphaTub85E/CG45105/Klp59C/aurB/cmet/Fign/Klp59D/BBS1/CG17118/CG13526/Dic61B/Klp61F/Klp3A/betaTub85D/CG14535/CG10845/Lis-1/Rilpl/CG7886/Sep5/Zwilch/tacc/Cby/CG14995/CG11802/ringer/CG33490/cbs/robl/Tektin-A/jub/Pp2A-29B/betaTub97EF/asl/pigs/CG14651/gammaTub23C/DCTN6-p27/CG11125/Girdin/CycE/Sep2/CycB3/DCTN1-p150/CG10822/Kat60/SA/Klc/Bsg25D/del/Rab11/wac/Dlc90F/Efhc1.2/robl37BC/robl62A/BBS5/CG15564/pnut/aurA/Grip75/asp/CG3085/Sas-4/Dnali1/Patronin/Det/clu/Asator/CG33489/Clc/klar/msps/Tektin-C/Blos2/Apc/Klp64D/hook/14-3-3epsilon/Cluap1/CG7131/CG32396/CG14763/CG31907/CG9286/Sgt1/TTLL3A/CG11356/galla-1/Map60/Cnb/aust/dgt4/Meics/Arl8/CG17493/SAK/CG3339/dgt6/ana2/Sep4/CG15602/CG3437/alphaTub67C/Cep89/Apc2/cpb/CG13032/Hsp83/Rcd6/CG1890/Chro/ens/CG13617/sstn/IFT20/CG31275/spag4/Rep/Pat1/CG15208/Sdic1/spd-2/wake/Grip128/Klp67A/CG10834/CG10859/CG10064/Cdk1/robl22E/Uxt/Cp190/Bug22/Incenp/Grip163/CG13074/rempA/rod/Neurl4/CG17003/CG10510/Cep97/Grip71/mats/JTBR/Dnai2/Moe/cdc14/sub/Oseg2/Grip84/sced/CG3121/ALiX/cos/shot/CG32564/Kebab/CG16837/CG13202/Klp98A/borr/Sas-6/CG18109/Klp10A/CG5359/tau/CG32232/Zw10/poe/tum/CLIP-190/CG7794/CG5964/Ttc26/CG8407/p120ctn/cnn/CG9279/nompB/Grip91/CG14838/polo/Arp10/Cdlc2/Mzt1/CG7276/betaTub56D/Gorab/Zmynd10/CG32591/corto/DCTN3-p24/Ran/CG32371/CG10958/Map205/CG13366/Tctp/neb/ncd/CG9406/ana1/feo/Nek2/CG18190/Rcd4/unc-104/Mps1/CG11584/Dhc16F/Dhc62B/Dhc36C/awd/fbl/mars/DCTN2-p50/Dlic/CG16896/CG31802/bora/CG3062/atl/nudE/kat-60L1/dnd/Kap3/CG30259/btv/dgt2/Arp1/gammaTub37C/Mtor/CG7716/TBCB/kat80/Tao/betaTub60D/Klp31E/Klp68D/DCTN4-p62/CG15306/nod/chb/Cen/CycB/IFT52/CG5270/robls54B/Axs/mei-38/Oseg5/CG13930/Dhc98D/Efhc1.1/Wdr62/CG6664/CG32392/ana3/mts/mad2/CG9313/CG7218/cep290/toc/vih/Khc/CG1571/CG2955/dgt5/pod1/Arl2/Mad1/Mink,285
GO:0044430,cytoskeletal part,344/7652,438/11938,1.8690289445333977e-11,1.9699565075382014e-9,1.1647001422776541e-9,twe/Spindly/jar/Bub1/Fim/Arpc2/pav/Pp4-19C/blow/Gas8/Arp3/CG32086/dila/alphaTub85E/Arpc3B/CG45105/Asciz/Klp59C/aurB/cmet/CG6652/Fign/Klp59D/BBS1/CG17118/CG13526/Dic61B/Klp61F/Klp3A/betaTub85D/CG14535/CG10845/Lis-1/Rilpl/CG7886/Sep5/Ilk/Zwilch/tacc/cpa/Cby/CG14995/CG11802/ringer/CG33490/cbs/robl/jub/Pp2A-29B/betaTub97EF/dia/asl/pigs/CG14651/gammaTub23C/DCTN6-p27/CG11125/Girdin/CycE/bt/Sep2/Mlc1/CycB3/DCTN1-p150/Arpc1/CG10822/bnk/Kat60/SA/Klc/Bsg25D/ck/del/Rab11/wac/Dlc90F/Efhc1.2/Gel/robl37BC/robl62A/BBS5/CG15564/pnut/aurA/Grip75/asp/twf/Sas-4/Dnali1/zip/Patronin/Det/clu/Asator/dj/CG33489/Clc/klar/msps/Blos2/Apc/Klp64D/hook/14-3-3epsilon/CCDC151/Cluap1/CG10984/CG7131/CG32396/GMF/CG14763/CG31907/DAAM/CG9286/wupA/Sgt1/galla-1/Map60/Cnb/eIF3m/aust/dgt4/Oseg4/Meics/Arl8/CG17493/SAK/CG3339/dgt6/ana2/LamC/Sep4/CG15602/CG3437/alphaTub67C/up/Cep89/Apc2/sals/cpb/CG13032/Hsp83/Rcd6/Chro/CG13617/sstn/IFT20/Arp2/CG31275/spag4/Rep/Pat1/CG15208/Sdic1/spd-2/wake/Grip128/Klp67A/CG31803/CG10834/CG10859/CG10064/Mlc-c/Cdk1/robl22E/Uxt/Cp190/Mhcl/cher/Bug22/Incenp/Grip163/CG13074/rempA/rod/TpnC25D/Neurl4/CG17003/CG10510/Cep97/CG17237/Grip71/mats/JTBR/Dnai2/Moe/Abp1/CG12395/cdc14/sub/Oseg2/Grip84/Hip1/sced/CG3121/ALiX/cos/shot/CG32564/Kebab/CG16837/mlt/Arpc5/CG13202/Klp98A/Root/borr/Sas-6/CG18109/Klp10A/Pak/CG5359/tau/CG32232/qua/Vrp1/Zw10/CG16719/poe/tum/CLIP-190/RhoGEF2/CG7794/didum/CG5964/Ttc26/dtr/Mhc/CG8407/p120ctn/cnn/CG9279/Chd64/nompB/beta-Spec/Grip91/CG14838/polo/Arp10/CG4329/CG31638/Cdlc2/Mzt1/CG7276/betaTub56D/Gorab/CG17387/Zmynd10/CG32591/Arpc4/Lam/corto/DCTN3-p24/BuGZ/Ran/CG32371/CG10958/Map205/CG13366/Tctp/neb/scra/ncd/CG9406/ana1/capu/l(2)gl/sti/feo/Nek2/flr/CG18190/Rcd4/unc-104/Mps1/CG11584/Dhc16F/Dhc62B/Dhc36C/awd/fbl/mars/DCTN2-p50/Dlic/CG16896/CG31802/bora/CG3062/atl/nudE/kat-60L1/Kap3/CG30259/btv/dgt2/Arp1/gammaTub37C/Mtor/CG7716/TBCB/kat80/Tao/betaTub60D/Klp31E/Klp68D/DCTN4-p62/CG15306/nod/CG30183/chb/Cen/CycB/Zasp52/IFT52/CG14183/CG5270/robls54B/Axs/mei-38/Oseg5/CG13930/Dhc98D/Efhc1.1/Wdr62/CG6664/CG32392/ana3/mts/Cortactin/mad2/CG9313/CG7218/cep290/toc/Myo31DF/vih/Khc/Tm2/CG1571/CG2955/dgt5/pod1/Mad1/Mink,344
GO:0005681,spliceosomal complex,159/7652,187/11938,1.176665939806548e-10,1.0335049171300847e-8,6.110405582153302e-9,Prp19/cyp33/CG8833/SmE/l(1)G0007/abs/ytr/Rm62/Caper/nonA-l/tsu/CG11808/Cdc2rk/x16/Sf3a2/CG5986/Slu7/tbrd-1/Sf3b5/Prp18/Tango4/CG7974/CG17187/U2af38/l(3)72Ab/REG/CG3198/SmB/Rack1/BCAS2/CG11839/CG17266/SNRPG/c12.1/CG10466/CG1965/hfp/CG5641/Dim1/SmF/LS2/SmD1/lark/Srp54/CG11964/CG9344/CG6841/ncm/rin/CG16865/CG17764/CG6179/Hel25E/pAbp/CG2685/fand/beag/CG13625/kin17/Hsc70-4/noi/CG17454/CG11586/Sf3b6/CG6209/FRG1/SF1/CG3294/CG15525/U2A/CG7747/aub/qkr58E-1/CG6610/CG10907/CG7102/CG4119/Moca-cyp/Smu1/Bug22/SRm160/PQBP1/Bin1/Es2/Spf45/Prp31/U2af50/Sf3b1/Sf3b3/CG7741/CG3225/CG10333/rump/yps/snf/Cdc5/CG12343/Phf5a/CG6015/caz/CG9684/cactin/CG1677/snRNP-U1-70K/CG1646/l(2)37Cb/Zn72D/CG11777/SmD2/crn/CG1622/SmD3/lost/CG31368/Dhx15/Usp39/mago/Ars2/Mtr4/sip1/Bx42/CG31922/CG5808/CG10418/CG9667/CG2931/CG3542/CG5877/CG14641/Sf3b2/CG3511/CG6227/Prp38/CG9213/l(1)10Bb/LSm3/tra2/U4-U6-60K/Cypl/Gem2/CG4887/Sf3a1/CG2021/CG6686/pea/mdlc/Cbp20/LSm7/CG7028/Pep/Spx/Prp8/CG7564/CG30122/Pnn/Mfap1/CG7483/barc/Prp3,159
GO:0044391,ribosomal subunit,153/7652,180/11938,2.783702709694503e-10,1.892695056071121e-8,1.1190207462240123e-8,RpS28a/mRpS17/mRpL55/RpLP2/mRpL51/mRpL19/RpLP1/RpS21/mRpS30/mRpL33/RpL10/mRpL18/RpL13/mRpL49/RpL14/RpL35A/mRpL10/RpL36/mRpL52/mRpL54/mRpL2/mRpS5/mRpL43/RpS17/mRpL36/RpS28b/RpS27A/RpS18/mRpS18B/RpL32/mRpL42/RpS15/mRpL39/mRpS16/mRpS6/tko/Rack1/RpS8/RpL39/l(2)10685/RpL15/RpS12/MCTS1/mRpL35/RpL4/RpL17/RpL37a/mRpS22/mRpL1/RpL26/mRpS18C/RpL8/RpL31/RpL7/RpS28-like/RpL18/mRpL15/mRpS2/mRpS18A/mRpL16/RpL38/RpS5a/eIF2D/RpL22-like/RpL19/RpL9/mRpL21/RpL11/RpL5/RpS27/mRpS28/mRpS21/CG13096/mRpS24/mRpL12/RpL13A/RpL29/mRpS34/RpS26/RpLP0-like/mRpS35/RpL27/CG6769/RpS2/mRpL44/mRpS29/RpL36A/mRpS33/RpL40/RpL24-like/mRpS23/mRpL3/mRpL17/mRpL13/RpL30/mRpL23/RpS19b/RpL23/mRpS25/RpL23A/RpS13/RpS10b/mRpL20/CG7414/RpL18A/RpL21/RpL37b/mRpS14/mRpL45/RpS19a/RpS10a/mRpL38/cav/LTV1/RpS3A/mRpL46/mRpL32/RpL10Ab/RpL10Aa/mRpL48/RpS23/mRpL24/mRpS31/mRpL14/RpS16/RpL22/RpL27A/RpL41/mRpL11/RpL7A/mRpL4/RpS4/CG6094/RpL37A/mRpL30/RpS5b/mRpS9/mRpL9/bonsai/mRpL28/Surf6/mRpL50/mRpL27/mRpL22/RpL34b/mRpL41/mRpS7/RpL6/mRpL40/mRpS26/RpL24/RpS20/RpL34a,153
GO:0030684,preribosome,67/7652,70/11938,2.8731613754400317e-10,1.892695056071121e-8,1.1190207462240123e-8,CG32075/Ip259/RIOK1/CG12325/CG7246/l(2)k09848/Nop56/CG12288/Rbm13/CG3735/CG3594/Fib/CG13097/CG8064/Bka/l(3)72Dn/CG16753/CG1671/ppan/CG3817/CG3527/Sas10/CG4554/wcd/CG6724/CG32409/l(3)07882/l(2)k09022/RIOK2/CG17652/nop5/CG5728/CG3224/CG4364/dbe/RpLP0-like/CG6769/Tsr1/CG1789/CG7006/eIF6/CG2972/CG7728/CG3008/CG11030/Mat89Ba/CG11920/CG2260/CG5033/CG8939/l(2)34Fd/CG9246/CG8461/CG1542/CG10909/CG9799/CG6712/LTV1/Rlb1/CG2875/CG5645/CG12333/Nnp-1/CG4866/bys/CG7275/CG12301,67
GO:0015934,large ribosomal subunit,97/7652,108/11938,8.73603296227433e-10,5.1154326345761914e-8,3.024404393956961e-8,mRpL55/RpLP2/mRpL51/mRpL19/RpLP1/mRpS30/mRpL33/RpL10/mRpL18/RpL13/mRpL49/RpL14/RpL35A/mRpL10/RpL36/mRpL52/mRpL54/mRpL2/mRpL43/mRpL36/RpL32/mRpL42/mRpL39/RpL39/l(2)10685/RpL15/mRpL35/RpL4/RpL17/RpL37a/mRpL1/RpL26/RpL8/RpL31/RpL7/RpL18/mRpL15/mRpL16/RpL38/RpL22-like/RpL19/RpL9/mRpL21/RpL11/RpL5/CG13096/mRpL12/RpL13A/RpL29/RpLP0-like/RpL27/CG6769/mRpL44/RpL36A/RpL40/RpL24-like/mRpL3/mRpL17/mRpL13/RpL30/mRpL23/RpL23/RpL23A/mRpL20/RpL18A/RpL21/RpL37b/mRpL45/mRpL38/mRpL46/mRpL32/RpL10Ab/RpL10Aa/mRpL48/mRpL24/mRpL14/RpL22/RpL27A/RpL41/mRpL11/RpL7A/mRpL4/CG6094/RpL37A/mRpL30/mRpL9/mRpL28/Surf6/mRpL50/mRpL27/mRpL22/RpL34b/mRpL41/RpL6/mRpL40/RpL24/RpL34a,97
GO:0005783,endoplasmic reticulum,362/7652,473/11938,2.0227156520129073e-9,1.0659711486108022e-7,6.302356136798112e-8,Lnpk/p115/CG7149/CG7573/fng/kud/Sil1/CG32199/CG11999/Buffy/CG5196/CG7840/Der-2/CG17883/boca/CG6527/SCAP/CG5969/CG13829/ninaA/Stim/CG1317/Sar1/CG14511/Sras/CG9855/Use1/Membrin/Rab19/Alg9/CG4483/LPCAT/CG15814/CG17195/Sec16/CG8630/Uggt/Ufl1/Klp61F/CG4293/Sply/CG13585/PH4alphaNE2/CG6790/Ost48/tral/brn/gammaCOP/meigo/CG31523/ste14/Agpat2/CG32201/CG17075/CG3500/bwa/CG5265/CG17593/CG4557/Plod/Osbp/rumi/Syx5/Fatp3/CG3038/CG4960/CG5342/Ssl2/PIG-U/opm/alpha-Man-IIa/CaBP1/fws/Ubc7/CG8507/l(1)G0320/Ldsdh1/SMSr/Sec63/bif/wls/CG5510/CG1924/CG6230/shams/cert/alpha-Man-Ib/GCS1/CG15168/beta3GalTII/CG17287/phm/Cnx99A/PH4alphaPV/Sec61beta/Catsup/GPHR/CG18234/Ero1L/fan/Cds/CDC50/clu/me31B/CG2918/Desat1/Nep4/SREBP/Krn/CG15539/Sec23/Seipin/Papst2/PH4alphaEFB/Grasp65/nero/CG4676/p23/CG9175/CG7484/Sec24CD/rho-5/O-fut2/eca/CG31475/schlank/CG9743/CG5862/Parp16/Acsl/park/SppL/sit/Rtnl1/Sec31/CG13978/ksh/CG11781/CG31141/CG3631/OSCP1/Hacd1/CG18231/CG4301/OstDelta/CG4956/CG10778/ORMDL/rasp/GalT1/CG8668/Zip99C/CG8314/CG32847/CG5885/Arv1/Cnx14D/CG2023/CG30156/CG8534/Stt3B/CG11257/THADA/sfl/EMC8-9/crc/CG31935/O-fut1/CG6766/puc/CG11137/heix/Vap33/bai/PH4alphaSG1/CG11357/PH4alphaNE1/CG17198/CG9747/Arr2/RpS26/Hrd3/CG1998/PIG-O/eloF/Spase12/PQBP1/Rab30/GM130/CG15864/GAA1/PIG-F/CG31021/PGAP2/Trp1/CG10761/Ns3/PIG-B/mol/CG16781/RyR/ReepB/CG11828/CG30037/aph-1/loj/Fad2/Fkbp14/CG5823/ELOVL/CG17991/CG13029/homer/jp/CG17270/CG33110/CG14646/Tango14/CG10973/CG9459/g/Ugt36F1/PGAP3/CG10029/Tango5/Zw10/Dnz1/CG17821/SsRbeta/CG15880/CG10470/CG4880/EMC3/twr/CG9981/CG32276/Ostgamma/CG9384/CG18810/Elo68alpha/CG4972/Xbp1/Scp2/Hsc70-3/TRAM/CG8311/Sec22/fdl/CG33129/Hmu/Patsas/Mtp/CG32069/PIG-A/CG17197/CG31524/CG7990/alt/wol/CG31013/Ankle2/Rint1/PIG-T/Pgant6/CG8112/CG31139/Mapmodulin/Erk7/por/CG7011/CG8141/mdy/Spp/tank/CG3061/scf/PIG-G/Alg10/spo/Ndfip/CG1486/CG9308/botv/CG8405/Hpd/CG14671/PIG-K/ttv/CG30036/Desat2/CNPYb/CG9186/CG6550/CG15651/PH4alphaNE3/CG7049/CG9458/Baldspot/PIG-C/Jafrac2/Spase25/CG31787/CG32087/rt/Alg1/S/pcx/CG10166/PGAP1/PIG-Q/bond/Xxylt/atl/CG31460/CG9662/Sec61alpha/Yif1/CG4907/CG16904/Tapdelta/Vti1a/PIG-N/CG5027/Gtp-bp/ste24b/CG1598/GlcT/Calr/Itp-r83A/GABPI/Rab18/ghi/fa2h/tw/CG3149/PH4alphaMP/CG18609/Ir48c/SelG/CG33116/CG17196/Hacd2/Axs/Alg14/CG8673/wbl/PIG-H/CG10425/Alg11/Ugt36E1/sip3/CG7218/CG9592/Agpat1/Alg3/LBR/CG1371/CG8397/P58IPK/CG18233/Spase22-23/CG31016,362
