PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1626606_at,blanks,38620,blanks,2.210237786057645,7.94998236115296,6.689054260638246,1.1390192384583508e-6,0.007513503565606204,4.852703541614399
1625512_s_at,CG34002,3885644,uncharacterized protein,-1.0961065806271613,7.141207641129155,-6.450144862863398,1.9392383224374234e-6,0.007513503565606204,4.437973188860959
1629327_at,CG5693,50463,uncharacterized protein,-1.2629246245679884,6.856785677146168,-6.437329560177998,1.995795174147212e-6,0.007513503565606204,4.415448133477146
1636291_at,Rae1,37467,Rae1,-0.9182124370154678,8.71935541235531,-6.166952099867016,3.67759789548642e-6,0.010383697657905906,3.933716694101231
1629574_at,Spn28B,34035,Serpin 28B,-0.862854091233185,6.182056173461807,-5.899710714709309,6.786347162092475e-6,0.0138794731649527,3.4456832018097847
1633256_at,Sfp33A3,8674115,Seminal fluid protein 33A3,-1.1663293864265736,7.46958471345903,-5.831068765447117,7.953238939727887e-6,0.0138794731649527,3.318487150905969
1641292_at,CG32834,318238,uncharacterized protein,-1.0707674354481087,6.292423150895024,-5.7972031035703075,8.602471414438544e-6,0.0138794731649527,3.255462548524217
1623519_at,esc,34595,extra sexcombs,1.1204337244746494,6.9456191579615005,5.510383388337671,1.6801010793765977e-5,0.02371882698809912,2.7147634894678836
1630091_at,CG31296,318668,uncharacterized protein,1.3849251369398594,5.282490103462177,5.439484229791533,1.9849133700010548e-5,0.02490845733421324,2.579273389091452
1639563_at,intr,43397,intrepid,-0.84410731517501425,6.318592928799031,-5.322025303008459,2.6190102195599688e-5,0.02957910141971029,2.3532952139357812
1626451_at,CG13847,42636,uncharacterized protein,0.6666448532999887,4.453404493421679,5.07631277728457,4.694806417116495e-5,0.04806602568775584,1.874861840685731
1632927_at,hng2,41056,hinge2,1.079223231033546,7.823925714503291,5.002649994722417,5.597492031335561e-5,0.04806602568775584,1.7300400756152197
1631670_at,Spn28F,49807,Serpin 28F,-1.129601118706459,7.849404599261093,-4.978239957500453,5.9338667674919435e-5,0.04806602568775584,1.681918204120695
1632696_at,karr,50257,karr,-1.0298812601556993,5.362028299656948,-4.954679758342439,6.277918637850856e-5,0.04806602568775584,1.635411427713061
1633380_at,CG12128,36042,uncharacterized protein,1.0726139112184727,7.751243352298598,4.947689002046736,6.383835534941895e-5,0.04806602568775584,1.62160075652461
