PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1633442_at,EbpII,326108,Ejaculatory bulb protein II,28.979166169693805,8.886482602423472,231.6256274033969,5.605669913212677e-38,6.331043599982398e-34,58.45071657525472
1627990_at,Acp53Ea,36874,Accessory gland protein 53Ea,29.235991619120064,8.378795852903961,183.51883045967318,8.292913771527531e-36,4.683008406781597e-32,57.53865922651771
1639240_a_at,Acp33A,3772154,Accessory gland-specific peptide 33A,26.98509510628692,8.022486083235481,176.05083212535948,2.0225741895238236e-35,6.507879164381804e-32,57.33665587671233
1634719_at,CG9920,41712,uncharacterized protein,26.800724754867147,8.614394404758228,174.9821319054639,2.304897880071473e-35,6.507879164381804e-32,57.305935270771826
1623707_a_at,CG32192,317904,uncharacterized protein,22.3050687646873,7.274650861601685,167.01462184191567,6.265570448475403e-35,1.4152670529016243e-31,57.06104592845884
1640401_at,Ebp,38009,Ejaculatory bulb protein,28.186393513897254,8.678255664759858,156.16365454385766,2.6482409666023868e-34,4.984872246134559e-31,56.67635954103159
1627105_at,TrxT,31443,Thioredoxin T,23.82822269786024,7.912289300268589,153.14784094216242,4.02406978946635e-34,6.492549171747565e-31,56.557370569077236
1627084_s_at,CG13164,36332,uncharacterized protein,24.942623445490653,8.107091967329003,151.93030302023396,4.775715930967965e-34,6.742116965544025e-31,56.50768943442938
1631158_at,Acp53C14a,36872,Accessory gland protein 53C14a,28.006304432231122,8.758064411605163,147.61002106566175,8.868068090231917e-34,1.1128440112342142e-30,56.32331634569384
1627679_at,CG12470,30977,uncharacterized protein,21.741100281480897,7.6817311688963965,141.85068063503527,2.0827088705848056e-33,2.3522113984384797e-30,56.056304227344306
1632039_at,CG4546,41922,uncharacterized protein,19.977003664244016,7.629913825999383,137.50104436737521,4.062246310660735e-33,4.0857118783066116e-30,55.836856948095296
1637128_a_at,CG33340,2768682,uncharacterized protein,21.009187713196695,9.30736671892689,137.07610047756657,4.3411140906392195e-33,4.0857118783066116e-30,55.81453340210954
1633930_at,CG1394,32059,uncharacterized protein,23.160629988774694,8.141054231157653,136.48617096650423,4.761892684952599e-33,4.136985844911896e-30,55.78327150750291
1624286_at,janB,43568,janus B,21.460215334210513,7.898469265120906,135.26679765932758,5.7727100485178474e-33,4.6569276634257545e-30,55.71763813115501
1633023_at,SP,39494,Sex Peptide,25.485856870089215,8.425824209158213,129.32204460093192,1.513661803438205e-32,1.1396864272020724e-29,55.376896362394426
1639413_at,ocn,43567,ocnus,25.192812220774087,8.076097247629148,128.85641943479155,1.6354087452546612e-32,1.1543941480566339e-29,55.348668286425706
1635139_at,S-Lap7,36524,Sperm-Leucylaminopeptidase 7,23.840097812917953,8.577825744726766,128.270543015395,1.8033210714205697e-32,1.1980416576837597e-29,55.31281556269542
1626092_at,lncRNA:CR32690,10178944,long non-coding RNA:CR32690,21.391785475770956,7.51387267134693,127.7487258261263,1.9680759588142633e-32,1.2348583266026828e-29,55.28056533897756
1638395_at,CG31802,318949,uncharacterized protein,19.775747001131208,7.273634116618383,126.8826140088784,2.2772213109607877e-32,1.297858420469093e-29,55.22636601877076
1626186_at,COX7AL,40995,Cytochrome c oxidase subunit 7A-like,19.6369045467099,6.887974491958756,126.8280766736303,2.298314893694161e-32,1.297858420469093e-29,55.222924887188476
