PROBEID,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
1627080_at,CG17752,42337,uncharacterized protein,3.4822809259875243,9.200709855797998,11.6725454539262,9.158743499534448e-11,1.0343884908374206e-6,14.096327166754973
1626606_at,blanks,38620,blanks,3.336156545802279,7.94998236115296,10.09653001936005,1.3014086595429602e-9,7.349054700439096e-6,11.802964534008995
1624817_at,Sr-CIV,33576,"Scavenger receptor class C, type IV",3.2948505809579256,5.089268094962289,9.575673903941269,3.3292099069406156e-9,1.1183646343689471e-5,10.971057433839624
1636291_at,Rae1,37467,Rae1,1.411691102989046,8.71935541235531,9.481282392818674,3.960916006265086e-9,1.1183646343689471e-5,10.816133926881898
1623519_at,esc,34595,extra sexcombs,1.8005434401593607,6.9456191579615005,8.85521780173709,1.2897402773208089e-8,2.9132653384122433e-5,9.7553648823979
1635033_at,CG30083,246444,uncharacterized protein,4.33812196041945,5.837584946022045,8.296176854055297,3.8619563716949837e-8,7.269489210320524e-5,8.758233700101316
1623714_at,CG8620,50310,uncharacterized protein,-1.6418771589507593,6.35587165913615,-7.94096723897301,7.920453501737043e-8,8.99899250986686e-5,8.099696537169562
1629574_at,Spn28B,34035,Serpin 28B,1.1572689920326482,6.182056173461807,7.912754127801571,8.391507099863395e-8,8.99899250986686e-5,8.046553607874579
1626497_at,mRpS6,38535,mitochondrial ribosomal protein S6,0.939506693457238,8.472198242701536,7.88263421577641,8.926406545645497e-8,8.99899250986686e-5,7.989682779602196
1625012_s_at,vir-1,34652,virus-induced RNA 1,-1.7086720430766036,8.892930062423238,-7.86510525030849,9.253779994682803e-8,8.99899250986686e-5,7.956520761125747
1634096_at,Aldh,34256,Aldehyde dehydrogenase,1.1975275469472138,12.375158817633988,7.828293719765859,9.982222558079656e-8,8.99899250986686e-5,7.886724113774491
1623491_at,CG15155,35087,uncharacterized protein,1.5642473424443608,8.961741306931076,7.826739399184325,1.0014251304329005e-7,8.99899250986686e-5,7.883772415137598
